path,file_name,target_string,string_location,string_distance,matching_string,context,document_id,code,comment,translation
./data/papers_txt_clean/,CJFD2000_LCMZ200003005.txt,"脑死亡后,气管插管",862,0.272727272727273,亡 后立即气管插管,"大。肺组织病理检查表明肺血管明显减少。诊断原发性肺 动脉高压，慢性右心功能不全，心功能IV级。供体心肺功能正常,但胸廓小于受体10%。于脑死亡 后立即气管插管接简易呼吸囊行控制呼吸，FiO尸0 2。迅 速开胸,肝素化,分离心肺组织,阻断升主动脉后,从主动脉 根部灌注冷晶体停搏液10",CJFD2000_LCMZ200003005,2,"see later 1 .供体心肺的处理:(1)注意保持气道干燥, 备好吸痰装
置, 插管要迅速、准确","Big. Pathological examination of lung tissue showed that the pulmonary blood vessels were significantly reduced. Diagnosis of primary pulmonary hypertension, chronic right heart insufficiency, heart function grade IV. The donor's cardiopulmonary function is normal, but the thorax is less than 10% of the recipient. Immediately after brain death, the trachea was intubated and a simple breathing bag was connected to control breathing. FiO cadaver 02. Open the chest quickly, heparinize, separate the heart and lung tissues, block the ascending aorta, and infuse cold crystalloid cardioplegia from the aortic root10"
./data/papers_txt_clean/,CJFD2000_LCMZ200012035.txt,"脑死亡后,紧急气管插管",378,0.230769230769231,定脑死亡后，行气管插管,"脉注射头抱嗓膈钠1.0,每天3次;5%碳酸氢钠100ml 静注，每天1次;硝普钠5mg+ 5%葡萄糖50ml静注，每天1 次。供体麻醉供体确定脑死亡后，行气管插管、维持呼吸、 循环、监测心电、血压、留置导尿。必要时静滴多巴胺液 10fxg-kg-LminT、输血及706代血浆。维持",CJFD2000_LCMZ200012035,2,"","Pulse injection of scalp throat sodium 1.0, 3 times a day; 5% sodium bicarbonate 100ml intravenously, once a day; sodium nitroprusside 5mg + 5% glucose 50ml intravenously, once a day. Donor anesthesia. After the donor is determined to have brain death, he will be intubated, maintain breathing, circulate, monitor ECG, blood pressure, and indwell catheterization. If necessary, intravenous infusion of dopamine solution 10fxg-kg-LminT, blood transfusion and 706 generation plasma. maintain"
./data/papers_txt_clean/,CJFD2001_DSDX200111019.txt,供者气管插管,1484,0.25,生气管内插管,"性使用的吸氧管制成（长约5 cm）,氩气刀。2供心切取配合2.1 麻醉配合脑死亡后用麻醉机维持呼吸巡回护士迅速建立静脉通 道,同时协助麻醉医生气管内插管。2 .2 手术配合洗手护士提前30 min洗手上台迅速摆好器械台将无菌 冰块刨成冰屑。协助医生消毒皮肤及铺巾,备好氩气刀、吸引",CJFD2001_DSDX200111019,2,"","It is made of oxygen tube (about 5 cm in length), argon knife. 2 Donor heart extraction and cooperation 2.1 After anesthesia and brain death, use an anesthesia machine to maintain the breathing circuit nurses quickly establish a venous channel, and at the same time assist the anesthesiologist with endotracheal intubation. 2.2 The operation cooperated with the hand-washing nurse to quickly set up the hand-washing table 30 minutes in advance to shave the sterile ice cubes into icicles. Assist the doctor to disinfect the skin and spread towels, prepare an argon knife, and attract"
./data/papers_txt_clean/,CJFD2002_ZHDB200206005.txt,供者气管插管,2176,0.25,用的气管插管,"存液,能及时提供给心肌氧和所需的代谢底物,又可排除心肌内代谢产物,具有较好的供心保存效果。另外,脑死亡之后呼吸和循环的维持十分重要,课题组采用的气管插管和维持血液循环正常等措施,使供心的心肌保护在脑死亡期间得以保证4.移植后早期右心衰竭的防治移植术后早期右心功能不全的发生,除了与供",CJFD2002_ZHDB200206005,1,"","The storage solution can provide the myocardium with oxygen and the required metabolic substrates in time, and can also eliminate the metabolites in the myocardium, which has a better preservation effect for the heart. In addition, the maintenance of breathing and circulation after brain death is very important. The tracheal intubation and the maintenance of normal blood circulation adopted by the research team ensure the myocardial protection of the donor heart during brain death. 4. Prevention and treatment of early right heart failure after transplantation The occurrence of right ventricular dysfunction in the early later period, in addition to the supply"
./data/papers_txt_clean/,CJFD2003_WJYX200303020.txt,"供体脑死亡后快速正中开胸,同时插入气管导管人工通气",1109,0.274981511792823,"h拔除气管导管。供体在脑死亡后快速气管插管供氧,开","肝素,静注抑肤酶350万u。手术进行330nun,体外循环时间145而n,主动脉阻断时间65而n。术后4h患者清醒,各项监测指标均正常,16h拔除气管导管。供体在脑死亡后快速气管插管供氧,开放外周静脉,维持收缩压>10011unHg。正中开胸,冷停跳液灌注供心,以3层无菌塑料袋包装",CJFD2003_WJYX200303020,2,"","Heparin, intravenous injection of 3.5 million u. The operation was performed for 330 nuns, the cardiopulmonary bypass time was 145 nuns, and the aortic occlusion time was 65 nuns. The patient was awake 4h after operation, all monitoring indicators were normal, and the tracheal tube was removed at 16h. After brain death, the donor was quickly intubated to provide oxygen, and the peripheral veins were opened to maintain the systolic blood pressure>10011unHg. The chest is opened in the middle, and the heart is infused with cold cardioplegia, packed in a 3-layer sterile plastic bag"
./data/papers_txt_clean/,CJFD2003_YNYY200304051.txt,脑死亡后用麻醉机维持呼吸,1799,0,脑死亡后用麻醉机维持呼吸,"和维持水电解质酸碱平衡治疗。术前晚上及术晨分别口服环胞素A200mg,入手术室前肌注安定10mg,东莨菪碱0.3mg。(2)供心的麻醉处理:脑死亡后用麻醉机维持呼吸,静脉输液维持循环功能,全身肝素化。阻断升主动脉后根部灌注4℃改良St.Thomas心脏停跳液500ml,使心脏完全停",CJFD2003_YNYY200304051,2,"","And to maintain the water and electrolyte acid-base balance treatment. In the evening and morning before operation, 200 mg of cyclosporine A was given orally, 10 mg of diazepam and 0.3 mg of scopolamine were injected intramuscularly before entering the operating room. (2) Anesthesia treatment of the donor heart: After brain death, use an anesthesia machine to maintain breathing, intravenous infusion to maintain circulatory function, and systemic heparinization. After blocking the ascending aorta, the roots were perfused with 4℃ modified St. Thomas cardioplegia solution 500ml to stop the heart completely."
./data/papers_txt_clean/,CJFD2004_HNYD200406016.txt,"脑死亡后,紧急气管插管",1503,0.153846153846154,"脑死亡后立即气管插管,","0%,供、受者血型相同,检验细胞免疫(包括淋巴细胞直接计数、淋巴细胞绝对值等)、体液免疫(包括IgG,IgA,IgM)均正常。1.2供体处理脑死亡后立即气管插管,接简易呼吸囊上氧控制呼吸,迅速开胸,肝素化,分离心肺组织,阻断升主动脉后,从主动脉根部灌注冷晶体停搏液1000ml,在灌",CJFD2004_HNYD200406016,2,"","0%, the donor and recipient have the same blood type, and the cellular immunity (including direct lymphocyte count, absolute lymphocyte value, etc.) and humoral immunity (including IgG, IgA, IgM) are normal. 1.2 After the donor handles the brain death, the trachea is intubated immediately, and the simple breathing bag is connected to oxygen to control breathing. The chest is opened rapidly, heparinized, the heart and lung tissues are separated, and the ascending aorta is blocked. In irrigation"
./data/papers_txt_clean/,CJFD2004_JYJX200402039.txt,快速胸部正中切口进胸,1154,0.25,"胸部正中切口,胸骨锯","男性,27岁,脑死亡志愿捐献者。供、受体血型一致,体重比为63/66。供体静注肝素(3mg·kg一,),人工辅助呼吸,维持循环稳定。仰卧位,胸部正中切口,胸骨锯劈开胸骨,倒“T”剪开心包,分离并结扎上腔静脉远端,近隔肌处横断下腔静脉,经主〔收稿日期]20()3一6一3[修回日期]2",CJFD2004_JYJX200402039,1,"","Male, 27 years old, volunteer brain death donor. The blood types of the donor and recipient are the same, and the weight ratio is 63/66. The donor was given intravenous heparin (3mg·kg one), artificially assisted breathing to maintain stable circulation. Supine position, incision in the middle of the chest, sternum saw to split the sternum, cut the open heart bag with ""T"", separate and ligate the distal end of the superior vena cava, transect the inferior vena cava at the proximal septum, via the main [received date] 20() 3 One 6 One 3 [Revised date] 2"
./data/papers_txt_clean/,CJFD2004_QQHB200409109.txt,快速胸部正中切口进胸,453,0.25,"巾,胸骨正中切口进胸",",男性,31岁,体重65kg。供受体之间ABO血型一致。2手术步骤简述2.1采心肺组供体脑死亡后,取仰卧位,迅速气管插管维持供氧,快速消毒铺巾,胸骨正中切口进胸,游离升主动脉、气管后,经升主动脉插管灌注冷心停跳液1500ml;经肺动脉主干插管灌注肺保护液4000ml,灌注压力不超过",CJFD2004_QQHB200409109,2,"",", Male, 31 years old, weighing 65kg. The ABO blood types are the same between the donor and recipient. 2 Brief description of the operation steps 2.1 After the brain death of the donor in the heart and lung group, take the supine position, quickly intubate the trachea to maintain oxygen supply, quickly disinfect the drape, enter the chest through the median sternal incision, free the ascending aorta and trachea, and insert it through the ascending aorta Perfuse 1500ml cold cardioplegia solution through the tube; perfuse 4000ml lung protection solution through the main pulmonary artery intubation, and the perfusion pressure does not exceed"
./data/papers_txt_clean/,CJFD2004_ZHQG200406005.txt,"脑死亡后,紧急气管插管",1451,0,"脑死亡后,紧急气管插管","格综合征患者施行了同种心肺联合移植术(CHLT)。患者至今存活9月余,心功能I级,活动正常。现将此例心肺联合移植报道如下:1.供者手术:急性脑死亡后,紧急气管插管,吸尽呼吸道分泌物,纯氧通气,胸骨正中切口,切开心包及两侧胸膜腔,探查心、肺无明显异常。全身肝素化,分离上、下腔静脉,主",CJFD2004_ZHQG200406005,2,"","Patients with Grid syndrome underwent combined cardiopulmonary transplantation (CHLT). The patient has survived for more than 9 months so far, with Class I cardiac function and normal activities. This case of combined heart-lung transplantation is now reported as follows: 1. Donor surgery: After acute brain death, emergency tracheal intubation, exhaustion of respiratory secretions, pure oxygen ventilation, median sternal incision, incision of the heart bag and both pleural cavities, and heart exploration , There is no obvious abnormality in the lungs. Systemic heparinization, separation of superior and inferior vena cava, main"
