path,file_name,target_string,string_location,string_distance,matching_string,context,document_id,code,comment
./data/papers_txt_clean/,CJFD2000_LCMZ200003005.txt,"脑死亡后,紧急气管插管",860,0.230769230769231,脑死亡 后立即气管插管,"扩 大。肺组织病理检查表明肺血管明显减少。诊断原发性肺 动脉高压，慢性右心功能不全，心功能IV级。供体心肺功能正常,但胸廓小于受体10%。于脑死亡 后立即气管插管接简易呼吸囊行控制呼吸，FiO尸0 2。迅 速开胸,肝素化,分离心肺组织,阻断升主动脉后,从主动脉 根部灌注冷晶体停搏液",CJFD2000_LCMZ200003005,,
./data/papers_txt_clean/,CJFD2000_LCMZ200003005.txt,"脑死亡后,气管插管",862,0.272727272727273,亡 后立即气管插管,"大。肺组织病理检查表明肺血管明显减少。诊断原发性肺 动脉高压，慢性右心功能不全，心功能IV级。供体心肺功能正常,但胸廓小于受体10%。于脑死亡 后立即气管插管接简易呼吸囊行控制呼吸，FiO尸0 2。迅 速开胸,肝素化,分离心肺组织,阻断升主动脉后,从主动脉 根部灌注冷晶体停搏液10",CJFD2000_LCMZ200003005,2,"see later 1 .供体心肺的处理:(1)注意保持气道干燥, 备好吸痰装
置, 插管要迅速、准确"
./data/papers_txt_clean/,CJFD2000_LCMZ200003005.txt,脑死亡后立即气管内插管给氧,858,0.2,。于脑死亡 后立即气管插管,"右室扩 大。肺组织病理检查表明肺血管明显减少。诊断原发性肺 动脉高压，慢性右心功能不全，心功能IV级。供体心肺功能正常,但胸廓小于受体10%。于脑死亡 后立即气管插管接简易呼吸囊行控制呼吸，FiO尸0 2。迅 速开胸,肝素化,分离心肺组织,阻断升主动脉后,从主动脉 根部灌注冷晶体停",CJFD2000_LCMZ200003005,,
./data/papers_txt_clean/,CJFD2000_LCMZ200003005.txt,脑死亡后迅速气管插管,861,0.25,死亡 后立即气管插管,"大。肺组织病理检查表明肺血管明显减少。诊断原发性肺 动脉高压，慢性右心功能不全，心功能IV级。供体心肺功能正常,但胸廓小于受体10%。于脑死亡 后立即气管插管接简易呼吸囊行控制呼吸，FiO尸0 2。迅 速开胸,肝素化,分离心肺组织,阻断升主动脉后,从主动脉 根部灌注冷晶体停搏液1",CJFD2000_LCMZ200003005,,
./data/papers_txt_clean/,CJFD2000_LCMZ200003005.txt,脑死亡后插入气管导管,861,0.25,死亡 后立即气管插管,"大。肺组织病理检查表明肺血管明显减少。诊断原发性肺 动脉高压，慢性右心功能不全，心功能IV级。供体心肺功能正常,但胸廓小于受体10%。于脑死亡 后立即气管插管接简易呼吸囊行控制呼吸，FiO尸0 2。迅 速开胸,肝素化,分离心肺组织,阻断升主动脉后,从主动脉 根部灌注冷晶体停搏液1",CJFD2000_LCMZ200003005,,
./data/papers_txt_clean/,CJFD2000_LCMZ200003005.txt,供者气管插管,865,0.25,立即气管插管,"组织病理检查表明肺血管明显减少。诊断原发性肺 动脉高压，慢性右心功能不全，心功能IV级。供体心肺功能正常,但胸廓小于受体10%。于脑死亡 后立即气管插管接简易呼吸囊行控制呼吸，FiO尸0 2。迅 速开胸,肝素化,分离心肺组织,阻断升主动脉后,从主动脉 根部灌注冷晶体停搏液1000m",CJFD2000_LCMZ200003005,,
./data/papers_txt_clean/,CJFD2000_LCMZ200012035.txt,"脑死亡后,紧急气管插管",378,0.230769230769231,定脑死亡后，行气管插管,"脉注射头抱嗓膈钠1.0,每天3次;5%碳酸氢钠100ml 静注，每天1次;硝普钠5mg+ 5%葡萄糖50ml静注，每天1 次。供体麻醉供体确定脑死亡后，行气管插管、维持呼吸、 循环、监测心电、血压、留置导尿。必要时静滴多巴胺液 10fxg-kg-LminT、输血及706代血浆。维持",CJFD2000_LCMZ200012035,2,
./data/papers_txt_clean/,CJFD2000_LCMZ200012035.txt,供者行气管插管,382,0.222222222222222,后，行气管插管,"抱嗓膈钠1.0,每天3次;5%碳酸氢钠100ml 静注，每天1次;硝普钠5mg+ 5%葡萄糖50ml静注，每天1 次。供体麻醉供体确定脑死亡后，行气管插管、维持呼吸、 循环、监测心电、血压、留置导尿。必要时静滴多巴胺液 10fxg-kg-LminT、输血及706代血浆。维持尿量80",CJFD2000_LCMZ200012035,,
./data/papers_txt_clean/,CJFD2000_LCMZ200012035.txt,"脑死亡后,气管插管",380,0.181818181818182,死亡后，行气管插管,"射头抱嗓膈钠1.0,每天3次;5%碳酸氢钠100ml 静注，每天1次;硝普钠5mg+ 5%葡萄糖50ml静注，每天1 次。供体麻醉供体确定脑死亡后，行气管插管、维持呼吸、 循环、监测心电、血压、留置导尿。必要时静滴多巴胺液 10fxg-kg-LminT、输血及706代血浆。维持尿量",CJFD2000_LCMZ200012035,,
./data/papers_txt_clean/,CJFD2000_LCMZ200012035.txt,脑死亡后迅速气管插管,379,0.166666666666667,脑死亡后，行气管插管,"注射头抱嗓膈钠1.0,每天3次;5%碳酸氢钠100ml 静注，每天1次;硝普钠5mg+ 5%葡萄糖50ml静注，每天1 次。供体麻醉供体确定脑死亡后，行气管插管、维持呼吸、 循环、监测心电、血压、留置导尿。必要时静滴多巴胺液 10fxg-kg-LminT、输血及706代血浆。维持尿",CJFD2000_LCMZ200012035,,
